"","lat","lon","type"
"560",37.5864469,127.019271,"bell"
"561",37.5964918,127.0381206,"bell"
"562",37.6039826,127.0161019,"bell"
"563",37.6110603,127.0144898,"bell"
"564",37.6015361,127.0168318,"bell"
"565",37.601282,127.0096167,"bell"
"566",37.5984337,127.0059514,"bell"
"567",37.6061625,127.0148478,"bell"
"568",37.6046495,127.0124532,"bell"
"569",37.6059248,126.9968932,"bell"
"570",37.61016544,127.0074341,"bell"
"571",37.6114298,127.0062337,"bell"
"572",37.6130841,127.0051617,"bell"
"573",37.6121477,127.0067406,"bell"
"574",37.6097205,127.00826,"bell"
"575",37.6118594,127.0076042,"bell"
"576",37.617489,127.0016074,"bell"
"577",37.6107197,127.0117964,"bell"
"578",37.6107385,127.0124338,"bell"
"579",37.6120592,127.012618,"bell"
"580",37.6147393,127.0093419,"bell"
"581",37.6189377,126.9985104,"bell"
"582",37.60346697,127.0245563,"bell"
"583",37.5963424,127.0397996,"bell"
"584",37.5959658,127.0346203,"bell"
"585",37.5968269,127.0392159,"bell"
"586",37.5975015,127.0313545,"bell"
"587",37.5989332,127.0286151,"bell"
"588",37.5974044,127.0385505,"bell"
"589",37.6083698,127.0353163,"bell"
"590",37.605149,127.0351416,"bell"
"591",37.6085618,127.0340045,"bell"
"592",37.6063407,127.0358737,"bell"
"593",37.6063871,126.999237,"bell"
"594",37.60980085,127.0323503,"bell"
"595",37.6125775,127.058965,"bell"
"596",37.6037205,127.0363197,"bell"
"597",37.59282541,127.0194665,"bell"
"598",37.6015431,127.0415652,"bell"
"599",37.6092644,127.0517569,"bell"
"600",37.6081487,127.0488162,"bell"
"601",37.6079115,127.0504716,"bell"
"602",37.6048633,127.0374602,"bell"
"603",37.6027309,127.0410426,"bell"
"604",37.6025427,127.0402738,"bell"
"605",37.6050927,127.0448402,"bell"
"606",37.6129539,127.038919,"bell"
"607",37.6113882,127.0415045,"bell"
"608",37.6128093,127.0435194,"bell"
"609",37.6134663,127.0458805,"bell"
"610",37.6134402,127.0480069,"bell"
"611",37.6117921,127.04732,"bell"
"612",37.6173212,127.0508311,"bell"
"613",37.6098156,127.0484767,"bell"
"614",37.6158539,127.0502155,"bell"
"615",37.61382,127.0496263,"bell"
"616",37.6151531,127.0510241,"bell"
"617",37.611413,127.0491393,"bell"
"618",37.6159638,127.0549329,"bell"
"619",37.6117401,127.0632162,"bell"
"620",37.613709,127.0639187,"bell"
"621",37.59758813,127.0404528,"bell"
"622",37.6083667,127.0586998,"bell"
"623",37.6069977,127.0523577,"bell"
"624",37.6053809,127.0612188,"bell"
"625",37.5929893,127.0057022,"bell"
"626",37.5938583,127.0055344,"bell"
"627",37.5913767,127.0051926,"bell"
"628",37.5921719,127.0019378,"bell"
"629",37.5942975,126.9999301,"bell"
"630",37.5920694,127.0018611,"bell"
"631",37.5846077,127.0103969,"bell"
"632",37.5893508,127.012875,"bell"
"633",37.5845258,127.0094751,"bell"
"634",37.58216982,127.007685,"bell"
"635",37.58563661,127.0107558,"bell"
"636",37.5935635,127.017136,"bell"
"637",37.60594,127.0164748,"bell"
"638",37.5902947,127.0214863,"bell"
"639",37.5933216,127.0154598,"bell"
"640",37.59516439,127.0194263,"bell"
"641",37.599028,127.0233899,"bell"
"642",37.601645,127.024854,"bell"
"643",37.60385557,127.027383,"bell"
"644",37.603171,127.0261274,"bell"
"645",37.5986227,127.0150616,"bell"
"646",37.5982678,127.0160436,"bell"
"647",37.5956106,127.0360234,"bell"
"648",37.5882095,127.02287,"bell"
"649",37.5873948,127.0239428,"bell"
"650",37.5889188,127.0184203,"bell"
"651",37.58349262,127.0296082,"bell"
"652",37.5884508,127.0298418,"bell"
"653",37.5805376,127.022822,"bell"
"654",37.5870615,127.017543,"bell"
"655",37.5811076,127.0188701,"bell"
"656",37.5802157,127.0215956,"bell"
"657",37.612919,127.0616814,"bell"
"658",37.5884078,127.0155099,"bell"
"659",37.5946845,127.020943,"bell"
"660",37.5801598,127.024095,"bell"
"661",37.5827477,127.0188904,"bell"
"662",37.6110048,127.0115242,"bell"
"663",37.611648,127.0107523,"bell"
"664",37.5993051,127.0352839,"bell"
"665",37.5973265,127.0393771,"bell"
"666",37.6025328,127.0432761,"bell"
"667",37.6143932,127.0443529,"bell"
"668",37.6167161,127.0431817,"bell"
"669",37.6110305,127.0621378,"bell"
"670",37.604545,127.0247018,"bell"
"671",37.604545,127.0247018,"bell"
"672",37.6069213,127.0360259,"bell"
"673",37.6002411,127.0344926,"bell"
"674",37.6102055,127.0533748,"bell"
"675",37.6131827,127.0471324,"bell"
"676",37.5933143,127.0117775,"bell"
"677",37.59770235,127.0139735,"bell"
"678",37.59497638,127.0228097,"bell"
"679",37.5945706,127.0114175,"bell"
"680",37.5861798,127.0125195,"bell"
"681",37.5871519,127.022577,"bell"
"682",37.5828688,127.0168792,"bell"
"683",37.57958379,127.0229409,"bell"
"684",37.6039265,127.013379,"bell"
"685",37.6038358,127.0076054,"bell"
